business_id,name,address,phone,website,email,category,subcategory,latitude,longitude,rating,review_count,opening_hours,description,services,payment_methods,social_media,images,verified,permanently_closed,extracted_emails,extracted_phones,extracted_social_links,search_query,search_location,search_region,scraped_at,extraction_date
0x8e3b6df30c245729:0xb17d6aca8ae6a6cc,La Rikota,"La Rikota, Cl. 4a ##694, Rivera, Huila",+573176601733,https://www.facebook.com/larikotarivera,,Hamburguesería,Hamburguesería,2.7783248,-75.2575208,4.8,61,martes: ['5a11 p. m.']; miércoles: ['Cerrado']; jueves: ['5a11 p. m.']; viernes: ['5a11:59 p. m.']; sábado: ['5a11:59 p. m.']; domingo: ['5a11:59 p. m.']; lunes: ['5a11 p. m.'],"Popular por: Cena, Cena en solitario; Ofrece: Aperitivos, Bocadillos, Comida",Sanitario|Consumo en el lugar|Bocadillos|Para llevar|Cena|Aperitivos|Comida|Entrega a domicilio,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npVdJz7IdogZHUlgY4bnD6_DzCFnKyJ3C7HD5dbDYT908WOqjmdH5csyxa9UBFqt6qWBCf40BWc_G4tydKfyvBe3vmMsdxYvmdftUQxOKSkZwoduGHI2Ny0EjuOi93GTbUfXFHR,FALSE,FALSE,,,,resturant,"2.7695512, -75.2492057",co,2025-06-03 20:37:51,2025-06-03
0x8e3b6d7eb061ac2f:0x28869960e0b05967,La Casa de las Flores Rivera,"La Casa de las Flores Rivera, Cl. 4a #1-50 e, Rivera, Huila",+573214970162,,,Restaurante,Restaurante,2.7762135,-75.2535262,4.7,217,martes: ['Cerrado']; miércoles: ['Cerrado']; jueves: ['Cerrado']; viernes: ['12a5:30 p. m.']; sábado: ['12a5:30 p. m.']; domingo: ['12a5 p. m.']; lunes: ['Cerrado'],"Popular por: Almuerzo, Cena en solitario; Ofrece: Alcohol, Aperitivos, Bebidas fuertes, Bocadillos, Café, Cerveza, Cócteles, Platos orgánicos, Vino",Sanitario|Cócteles|Almuerzo|Pedidos desde el automóvil|Vino|Entrega a domicilio|Asientos al aire libre|Alcohol|Postres|Cerveza|Café|Para llevar|Aperitivos|Entrega sin contacto|Consumo en el lugar|Bocadillos|Platos orgánicos|Bebidas fuertes|Espacio con asientos|Desayuno-almuerzo,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrweNKDp6w5dUIqwTOq4MWSjVrG-x24bZCqSD8sDo6mkU2a-J6JASoJMFAKWBVenC8NVkej2la9xybfbHJTTU3_0c3H3qpf13nSBhuplIxzbq51qbBAELErzNBieX42NbeOiVeF,TRUE,FALSE,,,,resturant,"2.7695512, -75.2492057",co,2025-06-03 20:37:51,2025-06-03
0x8e3b6d38fb9c3413:0xfa6f03e3ac12b2fd,Asadero de pollo Donde Betty,"Asadero de pollo Donde Betty, Cra. 13 #3a-42, Rivera, Huila",,,,Restaurante,Restaurante,2.7793948,-75.2621238,4.7,33,martes: ['Cerrado']; miércoles: ['Cerrado']; jueves: ['Cerrado']; viernes: ['10 a. m.a5 p. m.']; sábado: ['9 a. m.a8 p. m.']; domingo: ['9 a. m.a7 p. m.']; lunes: ['Cerrado'],"Popular por: Almuerzo, Cena, Cena en solitario; Ofrece: Alcohol, Bocadillos, Cerveza",Sanitario|Alcohol|Consumo en el lugar|Bocadillos|Cerveza|Almuerzo|Para llevar|Cena|Entrega a domicilio,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npMRxpE57PblzMiCJymmsc5gweZBgl37Qo5cbp5AhtI7sy_MpUW16RMvg4kakE-R5qc5oQb5bnDiOhm9fSEXuikqzXFv0TxBHVRTU_OCFkP0apQSOUrvy5jCmRLY1-o3aeD1Zfs,FALSE,FALSE,,,,resturant,"2.7695512, -75.2492057",co,2025-06-03 20:37:51,2025-06-03
0x8e3b6c1bd498ca23:0xd8082238b64c674d,Chibchili,"Chibchili, Parque Principal, Cl. 4a #5 - 74, Rivera, Huila",+573176816101,http://www.chibchili.jimdo.com,,Restaurante,Restaurante,2.7780041,-75.2565916,4.6,98,martes: ['Cerrado']; miércoles: ['Cerrado']; jueves: ['Cerrado']; viernes: ['4a10 p. m.']; sábado: ['4a11:59 p. m.']; domingo: ['12a10 p. m.']; lunes: ['Cerrado'],"Popular por: Cena, Cena en solitario; Ofrece: Alcohol, Aperitivos, Bebidas fuertes, Bocadillos, Cerveza, Cócteles, Vino",Sanitario|Asientos al aire libre|Consumo en el lugar|Alcohol|Postres|Cócteles|Bocadillos|Cerveza|Tiene bar|Para llevar|Cena|Bebidas fuertes|Aperitivos|Vino|Espacio con asientos|Entrega sin contacto|Entrega a domicilio,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4notsXmWIwi0nLBeuuAq5Cn77FCDV8krzcBMRE_mWBmkZLuJdjQKLL5hMNBcvyLBLSfxo-3MIMcnDcHAWglDmTifwJE_6x2Dtlc55ijRDJT2Lt2axu5dO5RiaTV58uSaIRiyYPQ,FALSE,FALSE,,,,resturant,"2.7695512, -75.2492057",co,2025-06-03 20:37:51,2025-06-03
0x8e3b6c19f6c5928f:0x512d2eb43956e0e1,CHAVELA RESTAURANTE,"CHAVELA RESTAURANTE, Cl. 4a #8-36, Rivera, Huila",+573053538067,https://sites.google.com/view/chavela-restaurante/inicio,,Restaurante mexicano,Restaurante mexicano,2.7786037,-75.2585621,4.5,241,martes: ['11 a. m.a9 p. m.']; miércoles: ['11 a. m.a9 p. m.']; jueves: ['11 a. m.a9 p. m.']; viernes: ['11 a. m.a9 p. m.']; sábado: ['11 a. m.a9 p. m.']; domingo: ['11 a. m.a9 p. m.']; lunes: ['11 a. m.a9 p. m.'],"Popular por: Almuerzo, Cena, Cena en solitario; Ofrece: Alcohol, Aperitivos, Bebidas fuertes, Bocadillos, Café, Cerveza, Cócteles, Comida, Comidas durante la madrugada, Platos orgánicos, Platos vegetarianos, Vino",Sanitario|Cócteles|Tiene bar|Almuerzo|Cena|Servicio de catering|Pedidos desde el automóvil|Vino|Entrega a domicilio|Asientos al aire libre|Alcohol|Postres|Cerveza|Café|Para llevar|Aperitivos|Comida|Entrega sin contacto|Consumo en el lugar|Bocadillos|Comidas durante la madrugada|Platos orgánicos|Bebidas fuertes|Espacio con asientos|Desayuno-almuerzo|Platos vegetarianos,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXXIgUR6j58c09B8_nNcdUAvlIB9Lxmy6RzGYBLK02A4WavmOpXLQfeLrPR-DrwLdn8y-A2FXlOKm3rO5bdvxKZFnX73B3sOLToeWSqsTPVWaFv8Ls0ogJbUs-Aw5wcCG7OgM-vg,TRUE,FALSE,,,,resturant,"2.7695512, -75.2492057",co,2025-06-03 20:37:51,2025-06-03
0x8e3b6ddfc76d6b91:0x717416c34cfcca8f,SAN BLASS Pizza & Parrilla,"SAN BLASS Pizza & Parrilla, Cl. 4a #1 -176, Rivera, Huila",+573164206408,,,Pizzería,Pizzería,2.7759505,-75.2514704,4.5,121,martes: ['4a11 p. m.']; miércoles: ['4a11 p. m.']; jueves: ['4a11 p. m.']; viernes: ['4a11 p. m.']; sábado: ['4a11 p. m.']; domingo: ['4a11 p. m.']; lunes: ['4a11 p. m.'],"Popular por: Cena, Cena en solitario; Ofrece: Alcohol, Aperitivos, Bocadillos, Cerveza",Sanitario|Alcohol|Asientos al aire libre|Consumo en el lugar|Bocadillos|Cerveza|Para llevar|Cena|Espacio con asientos|Aperitivos|Entrega a domicilio,,,https://lh3.googleusercontent.com/p/AF1QipPg2JFgg_RO5Rm6bqHrYTZmPqjUI-qSCHxnKDkP,TRUE,FALSE,,,,resturant,"2.7695512, -75.2492057",co,2025-06-03 20:37:51,2025-06-03
